train_loss,validation_loss,train_acc,validation_acc,train_mse,validation_mse,train_mae,validation_mae
7517.670509934535,7450.35290342604,"tensor(0.0014, device='cuda:0')","tensor(0., device='cuda:0')",72404803.04467188,71193572.29491657,7517.9204447577395,7450.60290342604
7286.468476787966,7072.091215939683,"tensor(0.0005, device='cuda:0')","tensor(0., device='cuda:0')",68272509.19027987,64121918.880869225,7286.718446473177,7072.341215939683
6731.917651605206,6321.577940070819,"tensor(0.0003, device='cuda:0')","tensor(0., device='cuda:0')",57502024.946015425,49395718.09856422,6732.167651605206,6321.827940070819
5776.478110946254,5147.051913751759,"tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",39466676.35921812,28882439.157935586,5776.728110946254,5147.301913751759
4362.833770122862,3474.17436405962,"tensor(0., device='cuda:0')","tensor(0., device='cuda:0')",20916125.773196876,15880578.632518433,4363.083770122862,3474.42436405962
2929.370535448693,2597.541885891116,"tensor(0.0003, device='cuda:0')","tensor(0., device='cuda:0')",19409619.63243925,20140758.91889794,2929.6205172598197,2597.791885891116
2816.4532671005722,2627.599533963305,"tensor(0.0008, device='cuda:0')","tensor(0., device='cuda:0')",20359744.425377116,19820524.599146295,2816.703225417738,2627.849533963305
2761.9187140793438,2397.0695639726123,"tensor(0.0008, device='cuda:0')","tensor(0., device='cuda:0')",19108328.548430905,17519366.269305393,2762.168690585382,2397.3195639726123
2609.559608744784,2354.3015657779456,"tensor(0.0008, device='cuda:0')","tensor(0., device='cuda:0')",18007825.166658584,16938750.097012028,2609.809543946923,2354.5515657779456
2545.600529926191,2324.398622429181,"tensor(0.0007, device='cuda:0')","tensor(0., device='cuda:0')",17778677.12678857,16953177.317035314,2545.850508705839,2324.648622429181
2556.224581807489,2299.148028325239,"tensor(0.0010, device='cuda:0')","tensor(0., device='cuda:0')",17936162.990881313,17656980.070624758,2556.4745454297426,2299.398028325239
2541.456724182505,2291.1275974402465,"tensor(0.0007, device='cuda:0')","tensor(0., device='cuda:0')",17927365.72915555,17113828.083042298,2541.7067018253483,2291.3775974402465
2517.0561185771016,2308.398433236776,"tensor(0.0004, device='cuda:0')","tensor(0., device='cuda:0')",17589465.594848912,17061651.192859914,2517.306103419707,2308.648433236776
2532.279970627101,2311.0302167839905,"tensor(0.0007, device='cuda:0')","tensor(0., device='cuda:0')",17738725.19214726,16731990.900271634,2532.5299372808336,2311.2802167839905
2521.1957069297428,2309.146118021955,"tensor(0.0006, device='cuda:0')","tensor(0., device='cuda:0')",17577653.966823496,17339136.869227786,2521.4456804043025,2309.396118021955
2527.103624006291,2243.1218494774994,"tensor(0.0008, device='cuda:0')","tensor(0.0004, device='cuda:0')",17753202.174516175,17043020.71788902,2527.353585354935,2243.3718494774994
2533.498607849574,2280.460958531905,"tensor(0.0005, device='cuda:0')","tensor(0., device='cuda:0')",17763358.23513969,16972060.294140473,2533.748572987567,2280.710958531905
2523.3801496418496,2289.2901656328822,"tensor(0.0009, device='cuda:0')","tensor(0., device='cuda:0')",17722322.811175242,17371953.19363601,2523.6301200849307,2289.5401656328822
2526.2708677177247,2290.9075390094467,"tensor(0.0010, device='cuda:0')","tensor(0., device='cuda:0')",17742740.301498763,16952758.31509507,2526.520834371457,2291.1575390094467
2520.042115353171,2319.72062070267,"tensor(0.0007, device='cuda:0')","tensor(0., device='cuda:0')",17598579.037687346,17344218.052774545,2520.292089206666,2319.97062070267
2516.380679750995,2264.133221390546,"tensor(0.0009, device='cuda:0')","tensor(0., device='cuda:0')",17681444.378574114,16837114.467209935,2516.6306464047275,2264.383221390546
2536.9711080109764,2357.242685539296,"tensor(0.0007, device='cuda:0')","tensor(0., device='cuda:0')",17878370.68698162,17687162.378734965,2537.221076559383,2357.492685539296
2543.943115938957,2265.902516931631,"tensor(0.0009, device='cuda:0')","tensor(0.0004, device='cuda:0')",17960582.337051947,17187847.455956537,2544.193070466774,2266.152516931631
2510.011425643886,2226.096899385641,"tensor(0.0007, device='cuda:0')","tensor(0., device='cuda:0')",17507721.486152206,17126215.33255724,2510.2614135179706,2226.346899385641
2507.257961338508,2423.018256830253,"tensor(0.0008, device='cuda:0')","tensor(0., device='cuda:0')",17531853.238783527,17189903.890570432,2507.5079408760253,2423.268256830253
2531.8712709908596,2285.6362195738443,"tensor(0.0006, device='cuda:0')","tensor(0., device='cuda:0')",17651425.634233885,16882274.46410555,2532.1212505283775,2285.8862195738443
2492.8800125266393,2270.894738726899,"tensor(0.0007, device='cuda:0')","tensor(0., device='cuda:0')",17143705.239947617,16673174.495925495,2493.1299572021494,2271.144738726899
2508.949690902835,2248.6470588681123,"tensor(0.0007, device='cuda:0')","tensor(0., device='cuda:0')",17403984.439006645,16565930.51144742,2509.199642778108,2248.8970588681123
2500.9984710333665,2264.797766961189,"tensor(0.0007, device='cuda:0')","tensor(0.0008, device='cuda:0')",17319809.038220886,16833941.757081877,2501.2484320030762,2265.047724518426
2497.6013627302787,2334.8361928197455,"tensor(0.0009, device='cuda:0')","tensor(0.0004, device='cuda:0')",17376508.531227265,16806032.743500195,2497.851343025666,2335.0861928197455
2540.4886897891456,2226.0385294075295,"tensor(0.0007, device='cuda:0')","tensor(0., device='cuda:0')",17678210.666828346,17186237.531237874,2540.7386761474904,2226.2885294075295
2488.4213446214553,2245.847569469708,"tensor(0.0006, device='cuda:0')","tensor(0., device='cuda:0')",17224149.97640297,17287480.58517656,2488.671330221931,2246.097569469708
2495.5950819619525,2257.346827574002,"tensor(0.0005, device='cuda:0')","tensor(0.0004, device='cuda:0')",17297088.722219527,16637305.535894452,2495.8450622573396,2257.596827574002
2504.1491216846516,2240.1504902897022,"tensor(0.0010, device='cuda:0')","tensor(0.0008, device='cuda:0')",17398443.44002522,16844197.382227395,2504.3990928856024,2240.4004902897022
2502.2109470444216,2263.533165892844,"tensor(0.0010, device='cuda:0')","tensor(0.0008, device='cuda:0')",17145426.519959256,16563959.598758247,2502.4609152138937,2263.7831537663405
2480.4868013376686,2251.47431843365,"tensor(0.0008, device='cuda:0')","tensor(0.0008, device='cuda:0')",16936228.885332797,16548941.407838572,2480.7367763279676,2251.7242456746276
2487.9131844960884,2234.830390761423,"tensor(0.0007, device='cuda:0')","tensor(0.0004, device='cuda:0')",17031222.597856138,16505924.61233993,2488.163148876212,2235.080321034027
2477.137019482178,2263.0566316248605,"tensor(0.0008, device='cuda:0')","tensor(0.0008, device='cuda:0')",16971778.038220886,16117812.998059759,2477.3869641576885,2263.3066316248605
2474.4624835423856,2251.3334736407705,"tensor(0.0008, device='cuda:0')","tensor(0., device='cuda:0')",16668875.541349372,16625919.008925106,2474.7124562590757,2251.5834736407705
2527.376836661739,2257.2850298690946,"tensor(0.0009, device='cuda:0')","tensor(0., device='cuda:0')",17653511.24397342,16637821.223903764,2527.6267904316865,2257.5350298690946
2495.085525343211,2268.9527345834244,"tensor(0.0007, device='cuda:0')","tensor(0.0004, device='cuda:0')",17370574.61813067,16499483.386107877,2495.335512080491,2269.2027345834244
2483.0789304497275,2232.1091111538067,"tensor(0.0012, device='cuda:0')","tensor(0.0004, device='cuda:0')",16936252.74753844,16759547.053162592,2483.3288762620427,2232.3591111538067
2483.7084769279354,2290.141057669862,"tensor(0.0009, device='cuda:0')","tensor(0., device='cuda:0')",17169266.44209875,16724282.596818006,2483.958420466641,2290.391057669862
2471.279447329902,2259.2709766723965,"tensor(0.0012, device='cuda:0')","tensor(0.0008, device='cuda:0')",16883645.60838143,16516084.34846721,2471.5293723007994,2259.5209584826407
2462.475934379945,2254.9558923060367,"tensor(0.0010, device='cuda:0')","tensor(0., device='cuda:0')",16776406.527331814,16375952.966239814,2462.725900275808,2255.2058923060367
2480.531692252506,2262.962117655128,"tensor(0.0009, device='cuda:0')","tensor(0., device='cuda:0')",16858671.485861182,16622037.007372914,2480.7816263178406,2263.212117655128
2473.2835273629807,2248.4776569169576,"tensor(0.0007, device='cuda:0')","tensor(0., device='cuda:0')",16998171.0423437,16502621.782693055,2473.533492879909,2248.7276569169576
2461.0804489186808,2266.132902880348,"tensor(0.0009, device='cuda:0')","tensor(0.0008, device='cuda:0')",16784746.47957996,16472705.646876212,2461.330403067563,2266.3828361845776
2469.6674845541415,2254.694278715561,"tensor(0.0009, device='cuda:0')","tensor(0.0004, device='cuda:0')",16855246.940631516,16646099.003492434,2469.9174383240884,2254.9442544625535
2462.585072829859,2249.5759625033347,"tensor(0.0006, device='cuda:0')","tensor(0.0008, device='cuda:0')",16881241.61429888,16535427.024447031,2462.835045925484,2249.8259625033347
2469.996205772618,2238.793079309608,"tensor(0.0010, device='cuda:0')","tensor(0., device='cuda:0')",16784867.77601009,16385999.96895615,2470.246161437239,2239.043079309608
2476.05952479295,2247.6291435694666,"tensor(0.0009, device='cuda:0')","tensor(0.0004, device='cuda:0')",16739391.020420041,16235269.410166861,2476.309491825617,2247.8791435694666
