protein_id,graph_filename
O14920,seq-8b8f623e72b89495992f31c451969829.pt
O15111,seq-446ab468a56cbcddbfa576a3fe4f3a6a.pt
P00533,seq-99d03b567dbcdd7fb0dd21fb40d5d283.pt
P04626,seq-d89a90920775435179a0d5281a800f78.pt
P06239,seq-4da4a28a5ddea0c62c113e19a4a784f7.pt
P07333,seq-8d988d2500c4f5a5b5e4062cdc2e0551.pt
P15056,seq-74c9b69323bd112084c1b5b385e7e6c5.pt
P24941,seq-e738af340c97db8838eaaca382c140e1.pt
P28482,seq-ccb174681d880da0eae8c0c11a73434c.pt
P45983,seq-b89f0ae73bbb390fff82f35e5b453aa1.pt
P45984,seq-344a92c32093386f463765b4fc3583fb.pt
P49841,seq-e93d83c1970d960dfc0bf3c997157eef.pt
P53350,seq-64384450345881b482b0cb08336f85ee.pt
P53779,seq-aa5ebc040a73c561149ab7792b896666.pt
Q13464,seq-092461d2e13ad54ee72be3459cc73d02.pt
Q16539,seq-4f35ee5c7e10d2f8f66e8580cd2f9708.pt
Q16584,seq-70ae0f4d12c76a65b6e0e49cee557282.pt
O14757,seq-a7304385fbc7627192b1408cd0b46dda.pt
O14965,seq-fd362a797e55160e725e287cda5b74d0.pt
O15075,seq-21fdbad11ae64c4589b0b46f797f4a35.pt
O15264,seq-6d2bb91dbb2abcc6f0a39c6a23d7470b.pt
O15530,seq-2aeabf3a06284a441e14dd03449bb30b.pt
O43293,seq-c6dd47aaa3c538d2e544de17a6cc3b70.pt
O60674,seq-06a47ffcc300b3340ae364cbdaf040be.pt
O75582,seq-ef4bde4c2bdf1b63842a0c77e84fc437.pt
O94806,seq-d0899c0e8db8e72a19abd172f5ad7f45.pt
O96013,seq-22b838d24d13b1a0768a8c4750a19051.pt
O96017,seq-d4bfe45a8f3d01cbf5eac244d893ba1a.pt
P06213,seq-8eb04104be33f0a0cb376ed145e684ff.pt
P06241,seq-a4554222869c00fd751dc364e23f6a4d.pt
P07332,seq-d7b557e3c789e6436b0e0c7ca23ef7e0.pt
P08069,seq-7319b21e0d5b3e8342fa71c29192f156.pt
P08922,seq-69f18bd2bccdc73111154f2d23b9e30a.pt
P10721,seq-f753f2b2d9752a30646c83e8630d1df8.pt
P11309,seq-d71aca87c9c759db458a90aeca532e01.pt
P11362,seq-79e75a9c5077e2c19f2faee1bf7e88fb.pt
P12931,seq-b34856872be278010271203e00bee542.pt
P15735,seq-8f82952583ef414ea4f7db2782a30fe6.pt
P16591,seq-7f92278498a105fffa782a04873e8dd9.pt
P17612,seq-f9f01faa42b67ad656136609dacd4e9a.pt
P23443,seq-7c70ba1d36e2a071b194f662aeb256d0.pt
P24723,seq-5ebf32ad0fac45c779a41a908f76a94b.pt
P27448,seq-9559d4e8c7e80364001b76384c4ca702.pt
P29317,seq-751c83ccaa7e8981affa3780720de9ec.pt
P29597,seq-281176f6331d962dc37690a120e0acd1.pt
P31751,seq-1dd26f451aea463f58467576eff14899.pt
P35916,seq-79f2c0e04d10d98c088cc5b5d495043c.pt
P35968,seq-3b93a11bc1683dc849a09618fb5af54b.pt
P41743,seq-955a0b1f912681537125328f43c515c6.pt
P42679,seq-997284a844c2ac28a5afc67b8226f17b.pt
P42685,seq-b526ef4440d1c76fc1077b8176a15081.pt
P43405,seq-17dbd30c3a3ccb7420537914a95d3f54.pt
P48729,seq-9fe8ffab125eb4793d7239317e2eac60.pt
P48730,seq-f6cb250af125a396596a42297e16bc0a.pt
P49137,seq-159c047122396b5e4be8f9058d812929.pt
P49760,seq-3f490da953d0c1399bcf00f7a6746b5e.pt
P49840,seq-e9f351ecc03c35f79f2e8f3612d09fae.pt
P51617,seq-7c465f9a42dc946204c257c884beda6a.pt
P51812,seq-805bae60f57cdd008ca3aa26c44edba9.pt
P51817,seq-55d9582b969948fcda3098f410b53e15.pt
P51955,seq-b7eba0f2f92ad245dc0cdafc864b37bd.pt
P52333,seq-298eb2b0a64ce9a00143db9fa208db71.pt
P53778,seq-207ff9b2e988830b7209136c4183bbdc.pt
P68400,seq-3452da2573da72752e984aad8a035a38.pt
P78368,seq-986a9393aebc695a16c7b3e597670046.pt
Q00535,seq-cffe1e33249ca6a4834688b9150248c3.pt
Q05655,seq-c30946c08ab398346fe2e6bd336ca8f4.pt
Q06418,seq-0e089d854429c19cf72237b0adf75fe5.pt
Q08881,seq-bc739105238eb6e59a00ef883d06430b.pt
Q12851,seq-9ece8f2e893fcfdd0f35522f09dbaf3d.pt
Q13131,seq-676dc3992822c9654f4f67c3eea7f843.pt
Q13153,seq-3e8d19052b87de5bfc4954b226c2ff8f.pt
Q13188,seq-50ff5c8e696e1310ea19fdc4c894ebc3.pt
Q13237,seq-9d86072d7de176f6bd300aeb3f1a84a9.pt
Q13554,seq-14af4e847b53f1b22ddeeb4d1ea574ed.pt
Q13555,seq-d963c8f9d6e36940b564cbd1087ef21a.pt
Q13557,seq-588a9529ca3945950ab346adc729f62b.pt
Q13627,seq-a6d5668e6f8a2e8004fd184d3d35af31.pt
Q13976,seq-e13d4905ae105519cb314d29bda73ee9.pt
Q14012,seq-7948b05b7667086c771b5ab7aeb51f78.pt
Q14680,seq-6b8130cbabd4a6cf226098056d1e81c3.pt
Q15303,seq-427b0012f5464bdd5b2c4f015a5cb648.pt
Q16288,seq-c1e8589e21da02f05e1a688a075debff.pt
Q16513,seq-8014f731ebb9cd8202f732ab6628d989.pt
Q5VT25,seq-5a53c289baff7c034c2a393fab940ce2.pt
Q7KZI7,seq-623517a1f4c11124fed81195b66db89e.pt
Q7L7X3,seq-abeeffb4813a878cbfd9a08ddd6a7c16.pt
Q86V86,seq-8327a2021ef972c9fd08b00c654310be.pt
Q8IW41,seq-9b3df9d8c08648f9bf86bb4f40823ca9.pt
Q8N4C8,seq-3f4809bd211de7e653155ffd55e867f6.pt
Q8NE63,seq-59ea148c699183003a9d8d3640b25a20.pt
Q8TDC3,seq-a344473aeb2d246c0679969778ba5145.pt
Q96GD4,seq-a2092d9052d9794255e32e8e525ff988.pt
Q96SB4,seq-05bd88ca5f9f9aee47d59eea7c9b344c.pt
Q9BXA7,seq-8796575e0fb5dd7e832a65b1b3995fab.pt
Q9BZL6,seq-84bb8714a4ef48c051962bddca849932.pt
Q9H2G2,seq-6fdcf11fcf8d897c520438f44f03a3bb.pt
Q9H2X6,seq-ea23e433f5a0c6913d2c37946d4fbbd0.pt
Q9H3Y6,seq-c26ff33bdbe0e78410bbdb19e92c5ab8.pt
Q9H4B4,seq-f4d8af21819414fddabe0b9f660a4c04.pt
Q9HAZ1,seq-b1a5f8955722032e01871e8bd04716cd.pt
